,農林水産業,鉱業,製造業,卸売・小売業,サービス業
大分県,"95,365","14,654","1,122,181","404,690","771,778"
宮崎県,"171,078","3,414","413,042","414,900","748,703"
鹿児島県,"205,571","15,650","708,403","645,433","1,093,559"
沖縄県,"67,612","8,287","152,050","392,881","924,728"
北海道,"763,665","29,979","1,875,097","2,992,620","3,702,241"
青森県,"192,414","13,755","407,572","601,213","888,584"
岩手県,"162,427","5,483","778,913","525,352","795,579"
宮城県,"156,313","5,658","1,086,546","1,363,658","1,670,749"
秋田県,"115,264","10,087","456,295","429,397","722,163"
山形県,"131,967","5,102","816,820","464,530","671,556"
福島県,"142,791","7,623","2,143,624","740,145","1,349,084"
茨城県,"269,249","8,760","3,272,961","1,142,503","1,826,233"
栃木県,"158,959","19,527","2,802,204","795,460","1,353,563"
群馬県,"118,096","3,681","2,363,130","882,894","1,226,890"
埼玉県,"121,075","6,792","4,498,466","2,354,560","3,513,580"
千葉県,"251,935","17,695","3,709,879","2,040,295","3,680,798"
東京都,"48,530","23,618","7,458,366","21,665,461","17,670,251"
神奈川県,"57,955","3,673","6,458,385","3,448,599","5,725,933"
新潟県,"190,037","52,516","1,775,689","1,061,878","1,581,676"
富山県,"58,941","8,309","1,448,057","521,140","739,620"
石川県,"51,737","7,958","953,594","622,899","928,003"
福井県,"39,937","2,757","669,187","311,526","539,514"
山梨県,"63,833","3,825","726,329","328,885","549,699"
長野県,"171,767","10,791","2,151,744","747,123","1,574,853"
岐阜県,"88,869","25,978","1,813,175","832,089","1,363,078"
静岡県,"194,729","11,855","5,844,901","1,421,080","2,647,442"
愛知県,"199,142","8,803","11,018,008","5,149,363","5,413,231"
三重県,"108,507","8,644","2,571,659","643,051","1,181,726"
滋賀県,"45,782","3,257","2,329,800","470,130","813,059"
京都府,"46,838","4,117","2,207,022","1,287,283","1,805,965"
大阪府,"38,055","2,417","6,140,233","7,226,088","7,712,727"
兵庫県,"99,181","41,551","4,636,215","2,156,547","3,457,402"
奈良県,"28,319",456,"684,087","373,705","749,604"
和歌山県,"90,035","12,841","954,453","349,792","624,161"
鳥取県,"48,883","2,642","381,801","239,373","376,362"
島根県,"54,923","5,170","308,676","259,893","470,167"
岡山県,"72,621","10,560","1,966,017","879,562","1,188,061"
広島県,"88,359","5,749","2,513,675","1,603,022","1,981,273"
山口県,"53,275","9,650","1,756,831","566,716","968,923"
徳島県,"72,073","1,644","746,182","274,550","492,378"
香川県,"61,608","7,173","715,095","541,632","676,080"
愛媛県,"107,214","9,229","1,079,005","615,272","902,148"
高知県,"104,386","6,941","229,252","285,780","505,710"
福岡県,"150,636","25,438","2,683,908","3,015,774","3,662,368"
佐賀県,"87,076","3,275","539,040","277,953","496,315"
長崎県,"123,544","6,245","449,799","529,417","996,118"
熊本県,"189,608","7,387","954,408","641,332","1,183,661"
大分県,"98,734","13,475","1,232,557","423,580","827,428"
宮崎県,"173,717","3,407","469,225","431,415","761,867"
鹿児島県,"208,952","12,317","705,057","678,678","1,130,596"
沖縄県,"67,477","8,927","175,687","400,183","934,558"
北海道,"676,873","34,521","1,870,589","3,006,672","3,661,346"
青森県,"143,802","18,159","389,848","610,169","887,435"
岩手県,"152,311","7,107","709,736","533,466","825,515"
宮城県,"140,134","6,118","1,092,979","1,375,591","1,670,377"
秋田県,"152,760","10,826","452,052","434,285","722,636"
山形県,"153,539","5,290","749,913","475,124","664,593"
福島県,"147,141","8,886","1,931,209","753,001","1,337,702"
茨城県,"275,518","9,888","3,476,904","1,140,788","1,769,136"
栃木県,"162,188","20,189","2,687,448","798,445","1,357,989"
群馬県,"119,129","5,032","2,445,921","870,346","1,203,319"
埼玉県,"128,030","7,614","4,243,722","2,328,760","3,266,833"
千葉県,"265,205","23,842","3,637,429","2,006,673","3,656,301"
東京都,"42,395","23,569","7,340,958","20,963,309","18,260,705"
神奈川県,"57,606","3,586","6,545,652","3,370,444","5,576,368"
新潟県,"231,422","57,053","1,741,343","1,079,567","1,562,218"
富山県,"56,284","7,865","1,422,890","536,614","742,130"
石川県,"49,078","8,579","961,802","621,346","928,633"
福井県,"38,801","3,138","654,257","323,936","534,635"
山梨県,"56,663","4,998","692,462","335,429","538,873"
長野県,"180,541","13,561","2,029,605","749,786","1,620,838"
岐阜県,"79,363","31,512","1,791,110","856,410","1,352,376"
静岡県,"186,538","12,618","5,617,213","1,394,303","2,653,107"
愛知県,"194,207","10,765","10,600,548","4,844,872","5,311,347"
三重県,"116,828","10,425","2,313,589","640,376","1,151,734"
滋賀県,"50,334","3,508","2,173,296","505,419","802,105"
京都府,"49,051","4,921","2,074,374","1,290,657","1,798,675"
大阪府,"36,887","2,857","6,056,678","7,163,050","7,649,076"
兵庫県,"113,906","57,343","4,437,155","2,199,348","3,443,626"
奈良県,"27,188",714,"727,548","374,351","732,122"
和歌山県,"85,714","17,149","970,957","347,763","623,067"
鳥取県,"49,785","3,461","347,781","250,946","379,159"
島根県,"50,583","5,752","300,421","277,636","466,202"
岡山県,"71,346","11,705","2,009,393","904,670","1,182,228"
広島県,"83,973","7,030","2,520,372","1,614,092","1,941,710"
山口県,"58,625","10,717","1,708,277","565,058","954,896"
徳島県,"79,925","1,584","738,985","282,724","488,682"
香川県,"62,871","8,611","722,086","549,009","667,726"
愛媛県,"103,450","10,265","1,037,118","628,079","893,524"
高知県,"96,243","7,671","236,225","289,982","507,458"
福岡県,"158,542","28,490","2,704,512","2,984,465","3,593,138"
佐賀県,"98,429","3,794","521,478","271,052","501,387"
長崎県,"123,544","7,925","426,222","552,406","995,773"
熊本県,"198,229","7,311","890,073","649,454","1,181,760"
大分県,"108,897","15,344","1,128,101","430,178","830,450"
宮崎県,"170,887","3,726","439,796","434,238","771,585"
鹿児島県,"207,777","12,693","681,082","684,705","1,121,820"
沖縄県,"67,112","10,063","212,503","394,640","927,330"
北海道,"712,976","32,453","1,851,490","3,020,058","3,640,947"
青森県,"169,755","18,731","350,378","621,328","890,194"
岩手県,"173,429","9,086","710,035","550,001","821,050"
宮城県,"167,476","4,691","1,074,934","1,415,861","1,646,096"
秋田県,"133,200","11,767","472,863","446,750","717,019"
山形県,"144,959","6,478","794,204","488,893","656,944"
福島県,"142,539","9,863","1,946,923","772,728","1,333,320"
茨城県,"267,390","9,271","3,458,330","1,142,999","1,754,882"
栃木県,"166,047","19,834","2,646,509","823,883","1,360,333"
群馬県,"122,019","4,554","2,383,266","861,496","1,176,368"
埼玉県,"123,546","7,949","4,304,589","2,362,537","3,249,639"
千葉県,"261,989","20,049","3,456,640","2,057,718","3,822,974"
東京都,"42,113","23,079","7,492,860","20,485,467","18,451,954"
神奈川県,"60,864","2,117","6,063,774","3,360,109","5,504,532"
新潟県,"215,778","57,313","1,659,847","1,112,979","1,577,997"
富山県,"54,102","8,474","1,329,614","531,901","730,745"
石川県,"50,666","6,989","958,331","636,365","930,118"
福井県,"38,523","2,904","640,904","333,283","535,276"
山梨県,"66,145","3,824","665,728","338,138","539,446"
長野県,"186,416","19,803","1,970,860","795,662","1,587,829"
岐阜県,"82,619","29,496","1,728,978","879,031","1,333,323"
静岡県,"189,317","12,326","5,838,986","1,432,969","2,620,468"
愛知県,"201,299","10,180","10,639,821","5,047,334","5,307,210"
三重県,"117,157","15,621","2,211,853","639,526","1,128,395"
滋賀県,"48,517","4,273","2,164,986","489,090","777,289"
京都府,"48,635","6,021","1,965,671","1,266,690","1,790,283"
大阪府,"35,734","2,901","5,992,473","7,347,573","7,753,517"
兵庫県,"120,045","79,446","4,554,185","2,167,853","3,421,623"
奈良県,"29,746",739,"770,235","364,496","723,839"
和歌山県,"92,430","16,006","937,690","373,554","612,565"
鳥取県,"51,001","3,935","316,789","258,614","379,878"
島根県,"54,284","6,279","308,403","285,293","455,601"
岡山県,"72,365","16,676","2,114,549","923,407","1,183,738"
広島県,"89,609","7,027","2,181,856","1,639,709","1,913,372"
山口県,"63,030","11,960","1,772,635","573,571","949,017"
徳島県,"77,903","1,428","634,154","290,085","486,853"
香川県,"64,432","12,159","723,807","573,544","683,699"
愛媛県,"121,268","11,284","1,030,788","643,770","893,482"
高知県,"103,836","8,901","239,023","300,941","521,115"
福岡県,"160,054","31,237","2,471,029","2,967,921","3,543,032"
佐賀県,"88,008","4,144","489,035","283,296","501,525"
長崎県,"127,883","9,265","491,352","553,375","985,697"
熊本県,"206,907","7,561","820,366","661,430","1,178,260"
大分県,"113,113","16,617","1,019,648","446,460","830,490"
宮崎県,"175,829","3,881","432,913","440,627","774,239"
鹿児島県,"209,868","10,635","628,209","704,467","1,118,608"
沖縄県,"62,126","9,566","181,870","408,623","907,947"
北海道,"697,121","38,632","1,953,101","3,077,058","3,672,295"
青森県,"172,746","21,154","368,535","636,998","901,210"
岩手県,"176,006","10,123","654,591","589,090","825,606"
宮城県,"169,209","4,937","1,146,237","1,491,670","1,624,984"
秋田県,"137,917","13,009","494,411","471,499","712,652"
山形県,"147,361","7,507","749,102","511,709","654,846"
福島県,"143,515","10,678","1,906,819","813,471","1,355,803"
茨城県,"251,870","8,835","3,291,316","1,155,525","1,773,401"
栃木県,"158,291","19,313","2,585,271","863,634","1,383,870"
群馬県,"121,317","4,332","2,409,676","872,019","1,186,394"
埼玉県,"119,576","8,166","4,309,099","2,444,637","3,354,521"
千葉県,"256,787","17,895","3,539,308","2,138,138","3,952,481"
東京都,"40,637","25,791","7,794,415","20,730,719","18,717,161"
神奈川県,"56,149","3,591","6,561,962","3,336,616","5,545,178"
新潟県,"214,202","60,053","1,594,109","1,167,087","1,569,880"
富山県,"54,836","13,489","1,296,445","552,682","733,805"
石川県,"51,241","7,257","998,133","673,120","937,108"
福井県,"41,612","3,428","635,817","343,275","542,914"
山梨県,"62,705","4,535","677,124","347,507","537,632"
長野県,"180,276","22,324","2,097,683","831,941","1,587,614"
岐阜県,"85,807","36,463","1,766,509","936,692","1,331,124"
静岡県,"186,683","16,897","5,372,438","1,420,976","2,622,520"
愛知県,"193,858","10,898","10,324,933","5,034,465","5,301,430"
三重県,"120,503","18,542","2,078,718","641,877","1,104,221"
滋賀県,"48,657","3,970","2,170,999","493,223","772,174"
京都府,"45,869","6,348","1,868,776","1,272,329","1,794,434"
大阪府,"34,846","3,209","6,108,722","8,146,453","7,797,776"
兵庫県,"115,036","141,794","4,612,995","2,224,689","3,455,266"
奈良県,"31,201",717,"746,644","391,212","720,255"
和歌山県,"90,338","16,163","981,110","386,111","609,912"
鳥取県,"50,878","3,891","377,834","271,903","389,182"
島根県,"55,839","7,893","325,611","288,138","449,920"
岡山県,"73,843","18,640","2,132,844","944,330","1,187,076"
広島県,"87,081","8,733","2,411,805","1,684,175","1,886,486"
山口県,"65,399","15,267","1,671,526","599,388","931,697"
徳島県,"71,029","2,243","631,405","295,542","482,087"
香川県,"62,252","13,899","715,960","628,553","688,790"
愛媛県,"133,858","12,388","1,081,989","678,810","901,338"
高知県,"104,554","9,994","242,604","307,366","536,852"
福岡県,"155,990","35,747","2,552,614","3,070,539","3,512,896"
佐賀県,"100,961","3,917","542,638","284,853","509,853"
長崎県,"125,452","17,155","419,216","574,488","1,004,689"
熊本県,"209,742","8,911","891,517","690,104","1,188,702"
大分県,"114,017","19,447","981,417","461,262","840,146"
宮崎県,"174,789","5,976","431,411","445,084","783,349"
鹿児島県,"208,832","10,960","652,676","724,708","1,120,932"
沖縄県,"68,273","10,722","216,021","420,705","873,830"
