,農林水産業,鉱業,製造業,卸売・小売業,サービス業
東京都,"49,701","21,117","6,456,027","19,488,551","19,095,547"
神奈川県,"60,718","1,721","5,053,914","3,291,907","6,084,729"
新潟県,"187,862","89,600","1,540,563","980,282","1,576,799"
富山県,"51,725","7,363","1,118,538","491,251","655,959"
石川県,"46,157","3,781","823,257","569,909","866,256"
福井県,"35,746","2,058","675,562","298,545","570,964"
山梨県,"55,511","2,608","671,840","288,722","581,799"
長野県,"152,771","9,193","1,812,742","697,294","1,410,681"
岐阜県,"73,473","13,175","1,782,762","718,480","1,382,141"
静岡県,"152,986","7,010","5,203,741","1,256,628","2,428,953"
愛知県,"172,376","11,240","11,414,232","4,577,884","5,654,245"
三重県,"91,212","4,549","2,349,760","702,768","1,181,212"
滋賀県,"45,894","2,608","1,997,307","431,471","862,435"
京都府,"43,722","2,283","2,085,387","1,107,250","1,931,405"
大阪府,"38,739","2,463","5,094,988","6,583,365","8,094,609"
兵庫県,"107,636","6,719","3,951,096","2,128,027","3,680,870"
奈良県,"23,279",262,"560,963","295,793","789,743"
和歌山県,"72,542","1,414","946,293","380,960","589,944"
鳥取県,"42,440",671,"189,858","184,895","351,288"
島根県,"42,781","2,399","321,544","206,242","441,328"
岡山県,"83,548","7,787","1,717,333","784,268","1,345,801"
広島県,"81,828","2,863","2,298,814","1,546,338","2,079,077"
山口県,"49,300","7,053","1,739,783","450,685","971,741"
徳島県,"67,244","1,259","718,410","263,804","497,169"
香川県,"50,557","3,201","789,274","494,224","728,494"
愛媛県,"98,812","3,810","887,766","542,365","880,015"
高知県,"81,207","7,924","164,559","263,201","523,180"
福岡県,"143,127","15,831","2,539,655","2,495,928","4,071,244"
佐賀県,"73,722","2,390","526,556","227,064","514,360"
長崎県,"113,734","4,503","549,386","489,223","988,598"
熊本県,"188,785","3,801","964,771","621,063","1,196,103"
大分県,"92,208","11,159","966,999","359,055","772,816"
宮崎県,"152,560","3,091","452,634","394,142","770,115"
鹿児島県,"188,088","30,451","593,491","626,123","1,150,140"
沖縄県,"60,364","5,189","156,229","413,937","1,024,767"
北海道,"683,580","32,763","1,622,512","2,459,674","3,982,311"
青森県,"166,526","9,952","641,010","506,874","843,474"
岩手県,"140,489","3,570","456,902","420,403","772,443"
宮城県,"96,184","4,284","848,888","1,105,938","1,546,047"
秋田県,"114,404","9,307","479,346","368,965","670,857"
山形県,"128,702","3,926","665,558","374,333","668,872"
福島県,"112,824","3,863","1,237,100","597,992","1,222,285"
茨城県,"221,997","6,159","3,514,566","1,074,741","1,867,026"
栃木県,"148,043","14,942","2,418,049","825,367","1,442,125"
群馬県,"102,678","2,213","2,406,229","787,422","1,234,118"
埼玉県,"118,288","6,820","4,158,724","2,476,053","3,684,041"
千葉県,"214,463","10,627","3,533,142","1,962,016","3,627,759"
東京都,"47,693","23,056","6,623,536","19,755,542","19,143,077"
神奈川県,"58,723","2,120","5,647,241","3,262,448","6,090,332"
新潟県,"181,704","84,107","1,589,912","997,300","1,521,839"
富山県,"49,807","9,264","1,163,906","498,263","668,780"
石川県,"47,490","4,717","782,074","573,988","870,387"
福井県,"36,124","2,058","674,562","303,599","560,576"
山梨県,"53,807","3,203","744,232","292,220","578,680"
長野県,"142,181","8,361","1,793,103","709,072","1,439,465"
岐阜県,"76,112","16,058","1,727,762","718,055","1,365,209"
静岡県,"148,799","7,327","5,120,607","1,283,502","2,410,096"
愛知県,"169,833","10,685","9,875,263","4,547,565","5,593,832"
三重県,"89,628","6,883","2,235,396","688,296","1,133,039"
滋賀県,"40,023","2,896","2,177,402","437,015","858,431"
京都府,"41,790","2,657","2,169,629","1,113,246","1,931,109"
大阪府,"39,012","2,785","5,383,355","6,625,408","8,104,781"
兵庫県,"105,022","7,692","4,047,163","2,161,287","3,716,319"
奈良県,"23,635",259,"531,924","293,465","786,450"
和歌山県,"75,083","1,235","992,617","377,062","582,536"
鳥取県,"42,428",806,"183,880","190,722","350,809"
島根県,"41,934","3,071","334,579","214,461","438,866"
